cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
0.0672,1,9162,0,0.0392,0.1064,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5591726267647052,-0.03276886,7.98,11.96
0.0269,1,9217,0,0.0236,0.0505,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5773087267647052,1.223193,7.466,11.83
-0.0502,1,9273,0,-0.0888,-0.139,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5870513267647053,0.9100812,6.769,11.68
-0.0434,1,9317,0,-0.1187,-0.1621,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.7728420267647054,-3.2098045,6.29,12.1
-0.0045,1,9364,0,0.0216,0.0171,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5640807267647052,-0.8144298,6.853,13.42
0.0203,1,9399,0,0.0267,0.047,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5495130267647053,-0.49629506,6.414,13.22
0.0378,1,9449,0,-0.0417,-0.0039000000000000007,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.5262260267647054,-1.4817909,6.146,13.38
-0.0463,1,9483,0,-0.0337,-0.08,NA,NA,NA,NA,3,2.00321,-0.234,3,19.7714,19.9606,57.42931,27.48501,0.3822705267647053,-1.8010755,6,14.55
-0.0196,1,9526,0,-0.0373,-0.0569,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.20019612676470544,-1.6083354,5.809,12.42
0.0254,1,9581,0,0.0375,0.0629,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.4589585267647054,0.596107,6.454,17.84
0.007,1,9637,0,-0.0133,-0.006299999999999999,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.3889023267647054,0.12576807,6.785,15.8
0.071,1,9680,0,0.0832,0.1542,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.4455362267647054,-0.4476959,6.872,14.19
-0.0068,1,9728,0,-1e-4,-0.0069,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.3420026267647054,-0.5557164,6.714,15.27
-0.07,1,9763,0,-0.0582,-0.1282,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.36273022676470523,-0.317305,6.915,16.46
3e-4,1,9813,0,-0.0296,-0.0293,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.29241692676470543,-0.50934273,6.352,15.36
0.0468,1,9847,0,-0.003,0.0438,NA,NA,NA,NA,3,2.47093,-0.234,3,21.5065,20.187,60.97118,28.12626,0.26215612676470523,-0.94801223,6.554,21.99
-0.0175,1,9897,0,0.0181,5.999999999999998e-4,NA,NA,NA,NA,3,2.75021,-0.234,3,23.3362,21.9335,66.62537,31.14802,0.18088112676470525,0.11156467,6.629,19.43
0.0192,1,9945,0,0.0335,0.0527,NA,NA,NA,NA,3,2.75021,-0.234,3,23.3362,21.9335,66.62537,31.14802,0.14882272676470532,-1.5009727,6.981,20.06
-0.0083,1,10001,0,-0.0424,-0.0507,NA,NA,NA,NA,3,2.75021,-0.234,3,23.3362,21.9335,66.62537,31.14802,0.05432478676470531,-1.1594378,6.814,21.48
0.0042,1,10044,0,-0.0849,-0.08070000000000001,NA,NA,NA,NA,3,2.75021,-0.234,3,23.3362,21.9335,66.62537,31.14802,-0.007257303235294721,-1.4512727,6.544,21
